Date,Close,Volume,Open,High,Low
11-11-2024,418.01,24503320,422.515,424.81,416.0
08-11-2024,422.54,16891410,425.32,426.5,421.78
07-11-2024,425.43,19901780,421.28,426.85,419.88
06-11-2024,420.18,26681840,412.42,420.45,410.52
05-11-2024,411.46,17626010,408.37,414.9,408.08
04-11-2024,408.46,19672290,409.8,410.415,405.5713
01-11-2024,410.37,24230440,409.01,415.5,407.5
31-10-2024,406.35,53970980,415.36,416.16,406.3
30-10-2024,432.53,29749150,437.435,438.5,432.1
29-10-2024,431.95,17644080,428.0,433.17,425.8001
28-10-2024,426.59,14882440,431.655,431.94,426.3
25-10-2024,428.15,16899060,426.76,432.52,426.565
24-10-2024,424.73,13581630,425.325,425.9782,422.4
23-10-2024,424.6,19654380,430.855,431.08,422.53
22-10-2024,427.51,25482200,418.49,430.5793,418.04
21-10-2024,418.78,14206120,416.12,418.96,413.7501
18-10-2024,418.16,17145320,417.14,419.65,416.2601
17-10-2024,416.72,14820000,422.36,422.5,415.59
16-10-2024,416.12,15508930,415.17,416.36,410.48
15-10-2024,418.74,18900200,422.18,422.48,415.26
14-10-2024,419.14,16653090,417.77,424.04,417.52
11-10-2024,416.32,14144940,416.135,417.13,413.25
10-10-2024,415.84,13848380,415.225,417.35,413.15
09-10-2024,417.46,14974260,415.86,420.38,414.3
08-10-2024,414.71,19229260,410.9,415.66,408.17
07-10-2024,409.54,20919760,416.0,417.11,409.0
04-10-2024,416.06,19190910,418.24,419.75,414.97
03-10-2024,416.54,13686420,417.63,419.55,414.29
02-10-2024,417.13,16582260,422.58,422.82,416.71
01-10-2024,420.69,19092950,428.45,428.48,418.81
30-09-2024,430.3,16854610,428.21,430.42,425.37
27-09-2024,428.02,14896130,431.52,431.85,427.47
26-09-2024,431.31,14492040,435.085,435.3,429.13
25-09-2024,432.11,13396360,429.83,433.119,428.57
24-09-2024,429.17,17015750,433.0,433.35,426.1
23-09-2024,433.51,15128890,434.28,436.46,430.3889
20-09-2024,435.27,55167110,437.22,439.24,434.22
19-09-2024,438.69,21706560,441.225,441.5,436.9
18-09-2024,430.81,18898040,435.0,436.03,430.41
17-09-2024,435.15,18874230,440.23,441.85,432.27
16-09-2024,431.34,13834700,430.6,433.53,428.22
13-09-2024,430.59,15874560,425.825,431.83,425.46
12-09-2024,427.0,17418760,423.31,427.3692,419.75
11-09-2024,423.04,19266920,415.5,423.99,409.58
10-09-2024,414.2,19594290,408.2,416.33,407.7
09-09-2024,405.72,15295130,407.24,408.65,402.15
06-09-2024,401.7,19609530,409.06,410.65,400.8
05-09-2024,408.39,14195520,407.62,413.1,406.13
